Algorithm,InputSize,Case,TimeSeconds
SelectionSort,10000,Random,0.15743
SelectionSort,10000,SortedAsc,0.143892
SelectionSort,10000,WorstCase,0.161463
SelectionSort,50000,Random,3.81565
SelectionSort,50000,SortedAsc,3.50259
SelectionSort,50000,WorstCase,1.87637
SelectionSort,100000,Random,4.60484
SelectionSort,100000,SortedAsc,4.43111
SelectionSort,100000,WorstCase,7.79043
Insertion,10000,Random,0.109908
Insertion,10000,SortedAsc,6.0643e-05
Insertion,10000,WorstCase,0.21827
Insertion,50000,Random,2.70769
Insertion,50000,SortedAsc,0.000325978
Insertion,50000,WorstCase,5.08736
Insertion,100000,Random,3.58357
Insertion,100000,SortedAsc,0.000177491
Insertion,100000,WorstCase,6.39297
BubbleSort,10000,Random,0.28029
BubbleSort,10000,SortedAsc,0.174434
BubbleSort,10000,WorstCase,0.363796
BubbleSort,50000,Random,6.91552
BubbleSort,50000,SortedAsc,2.10452
BubbleSort,50000,WorstCase,2.61918
BubbleSort,100000,Random,10.8034
BubbleSort,100000,SortedAsc,5.17955
BubbleSort,100000,WorstCase,10.8348
Quick,10000,Random,0.000982501
Quick,10000,SortedAsc,0.000267196
Quick,10000,WorstCase,0.000261906
Quick,50000,Random,0.0056578
Quick,50000,SortedAsc,0.00135792
Quick,50000,WorstCase,0.0014533
Quick,100000,Random,0.00882808
Quick,100000,SortedAsc,0.00188886
Quick,100000,WorstCase,0.00208442
